89,"barang sesuai pesanan, belum dicoba tapi semoga berfungsi dengan baik"
90,Awalnya barang gak berfungsi. Dikomplain dan langsung ditangani dengan baik. pelayanan admin dan after salesnya keren banget. makasih doss
91,"sesuai pesanan,.. berfungsi dg baik,.. harga terjangkau dibanding toko lain.."
92,lega karna pasanan di kirim dan di packinh dengan aman. next level of cleaning kit kamera
93,"barang asli sesuai diskripsi, seller fast respon"
94,"Pemasangan bisa cepat setelah membaca manual, alat berfungsi dengan baik menjaga kelembaban, user manual informatif, bentuk keren"
95,Kurang Pas di layar Sony ZV E10 Mark II (kurang lebar dan agak ketinggian)
96,Pengiriman lama dan tidak diberikan cleaning kit (tidak sesuai janji).
97,Doss emang mantul
98,"bagus, berfungsi dg baik. pengiriman aman juga."
99,Mantep pelayanannya. Seller ramah respon cepat.
100,ada bintik di dalam
101,"pesanan sudah diterima dengan baik, terima kasih gan 👍🏼👍🏼👍🏼"
102,"layanan seller ramah, barang baru dan bergaransi. packingan dobel buble pack dan dilapis dus lagi selain dus standard kamera, jadi sampai rumah aman dan berfungsi dengan... "
103,garansi tambahan yang bikin tenang kalau amit amit ada kejadian rusak /hilang dengan kamera kita...harganya juga terjangkau...
104,barang oke dan kemasan oke juga dan fitur oke
105,"packing aman dan rapi, barang sampai mulus dan banyak bonus, 😍 mantap banget doss, jos gandos, semoga setelah upgrade dapat banyak job , dan makin produktif, 🙏amin"
106,Top. Barang ori... Dikasi bonus. Seller gercep. Oke emang DOSS
107,Fast response ! Maaf fotonya udh kebongkar karena memang seburu2 itu… makasih yaa
108,Seller sangat responsive dan pengiriman cepat. Camera Belum saya coba. semoga barang awet dan memuaskan. Terima kasih
109,Pelayanan baik
110,region alatnya inter gabisa dipairing
111,excellent service. well 👍
112,"barang tiba dengan selamat, seller fast respon dan ramah. ekspedisi JNE agak bikin rumit"
113,"mantap, gede juga ya ternyata"
114,"Barang sesuai yaa, mendarat dengan selamat"
115,"pengiriman cepet banget, kondisi barang aman terkendali"
116,"Sesuai deskripsi, seller ramah + gercep, paking sangat aman, bery recommended seller, maaf telat review..."
117,"Mantabb sesuai ekspektasi, kyk biasanya doss emg manteb"
118,"packing aman dan rapi, pokonya gausah ragu sama doss untuk pembelian online kebutuhan kalian"
119,"mantap, berfungsi dengan baik, mungkin saya yang kurang teliti, ternyata dikirim dari luar jawa, makanya kok mahal ongkirnya."
120,BEST
121,"respon cepat, pengiriman cepat barang bagus original manteeep"
122,"So good, pengiriman cepat"
123,"bass nya keren, rada susah di pairin nya aja"
124,Pengiriman saya ambil next day. Datangnya 3 hari kemudian seperti pengiriman regular.
125,Selalu oke berbelanja di sini. Memorynya berfungsi dengan baik dan harga so so lah. Good!
126,"mantap sekali, joss gandoss, rekomended"
127,"Respon Chat yang super cepet, untuk proses brang pun super cepet, kualitas barang, gak usah di ragukan lagiii"
128,"Hollyland Lark M2 Combo: Mikrofon wireless compact dengan audio jernih, cocok untuk konten kreator. Jarak hingga 100 meter, daya tahan baterai 8 jam, dan dilengkapi charg... "
129,"Kualitas barangnya bagus, custom shortcutnya bisa masuk banyak juga, ukurannya pun pas ditangan jadi nyaman buat megangnya, dan untuk installasinya mudah, cukup install d... "
130,Mantap barang sesuai
131,Pengiriman cepat dan barang dikirim lengkap. Bahkan dapat bonus battery dan kaos. Sudah di test dan berfungsi normal
132,sesuai walau belom di coba
133,Langsung di kirim same day. Barang ori dan packing aman.
134,sangat berfungsi dengan baik
135,"terimakasih , pesan pagi lansung dikirim siang besoknya udah sampai"
136,pelayanan doss gaperlu diragukan ✨ unit amannn👍
137,"Akhirnya kebeli juga ini barang setelah 2 tahun make kakaknya. Kalo mau beli photo dan video equipment, DOSS udah paling oke lah, mulai dari kualitas produknya, garansi... "
138,"packing aman, peralatan lengkap, dicoba jernih, dicoba dg suara pelan tapi kedengeran. Buat yang baru beli harus buru2 aktifasi garansi setelah ini lihat di kartu garansi"
139,barang oke dan berfungsi dengan baik.
140,"yak, mantap"
141,Mantab… pelayanan juara!!
142,"pengiriman aman, dobel plastik, bubble wrap tebal.barang sesuai gambar"
143,"mantapp, seller fast respond dan sangat recommended oldebes 👍👍"
144,"mantapp, seller fast respond dan sangat recommended oldebes 👍👍"
145,"Sellernya sangat baik dan responsif, barangnya juga kokoh dan gampang dipake, Udah coba dipakek untuk charge 3 device sekaligus kencang dan sesuai sama claimnya 👍"
146,Barang bagus. Barang datang langsung unboxing dan tes langsung. Berjalan dengan baik dan lancar
147,"ini adalah webcam yang sangat jernih, hasil gambarnya gk lebay. suara mic dan kualitas ai sangat baguss sehingga gk bisa berkata2. ini merupakan webcam terbaik saat ini,... "
148,Toko Terbaik... Proses cepat... Manyala abangku...🔥🔥🔥
149,pelayanan toko ⭐⭐⭐⭐⭐ kualitas barang ⭐⭐⭐⭐⭐
150,Barang nyampe sesuai pesanan dan responnya bagus serta bnyak bonusnya👍👍👍
151,Berfungsi dengan baik dan cahayanya cakep
152,mantap sesuai recommendation ori 100% penguriman vepat
153,Barangnya sangat sesuai ekspektasi. Sekali colok ke HP langsung berfungsi.
154,"sejauh ini baru buka, material bahannya cukup oke kok dengan seharga ini. udah 11/12 sama Godox. Kalo light powernya nanti perlu dibandingin dulu sama merk sebelah. Katanya si... "
155,Pelayanan DOSS selalu terbaik…🙏 Staf yang ramah serta sangat membantu dalam memjelaskan detail produk yang ditanyakan
156,"pembelian yang ke 3, sangat memuaskan dan pengiriman yang cepat. 🙏"
157,Mantap. Memang paling lengkap. Selalu puas belanja disini
158,"Tiba dengan selamat dan cepat, rekomended seller, puas dengan pelayanan🤩"
159,kualitas bagus dan admin responsif. terbaik😍
160,kualitas bagus dan admin responsif. 😍
161,barang mantap semoga awet. terimakasih doss
162,"Barang sesuai deskripsi. benaran memang ada harga ada rupa. Beda sama magic arm merek lain, magic arm ini begitu kekunci (tanpa harus ngunci sampai ngeluarin tenaga besar... "
163,mudah diaktifkan
164,"penjual sangat membantu, respon cepat, memberikan saran apa saja yang saya perlukan, sampai malam pun masih aktif, pengiriman cepat, aman packing bagus...rekomen seller d... "
165,so far so good
166,PELAYANAN THE BEST DAN BANYAK PROMO DISKONNYA
167,Kereennn
168,sesuai dengan deskripsi dan diterima dalam keadaan baik
169,"Mantap pengiriman cepat, barang oke banget, mimin responsif"
