index,reviews
717,"ukurannya agak besar. ada lapisan busa di dalamnya, jadi seharusnya aman."
718,terbaik
719,nge-bass mantap nyaman ditelinga
720,oke suara mantap
721,barang nyaaa 100% original! pengiriman cepat
722,"Respon seller cepat, barang ori, pengiriman cepat"
723,mantap
724,"Packing bagus, barang juga aman tidak masalah, pengirim cepat gak nyesel beli dsinj"
725,"Tempered glass dan case nya bener"" solid bahannya, ngga nyesel udh langganan disini. Produk underrated gaes"
726,"pengirimannya cepet ,, packing nya juga rapi pake kardus ,,terima kasih😁"
727,"Good product, good price w/ great discount from Tokped.  2nd purchase from this brand.  Hopefully it will last longer than before.  Thanks Tokped and Seller!"
728,SELLER Langganan lama dan belum mengecewakan. respon cepat dan barang selalu dikemas dengan aman
729,SELLER Langganan lama dan belum mengecewakan. respon cepat dan barang selalu dikemas dengan aman
730,"barang sesuai pesanan 
pengirimana cepat.
packing aman"
731,"barang sesuai pesanan 
pengirimana cepat.
packing aman"
732,"copper emang bagus sih, kemarin nyoba brand lain feel sentuhannya ga sehalus ini. dan lemnya ini bagus banget langsung nempel cuma karena yang masang aga amatiran masih ada... "
733,sipp. premium
734,Copper masih yang terbaik untuk Tempered Glass dalam proses pengiriman dan kualitas produk
735,"masih bagus, tpi perasaan jadi lebih tipis dari pas awal beli dulu, mungkin karena biar menyesuaikan fingerprint nya kali ya, but masih tetep bagus class"
736,selalu cocok
737,produk sesuai dan bagus. pas di A23 5G. gak pernah salah pilih copper TG.
738,"barang bagus, tidak mengurangi sensitifitas hp nya, tapi bagian pinggirannya ada bagian hitam jadi bikin bezel hpnya jadi tebel"
739,barang sesuai gambar
740,Mantap
741,"Baru dipakai 5 Hari barang udah rusak gk bisa dipakai, kabel yang dikasih juga tidak berkualitas."
742,"kualitas selalu oke, pembelian ke sekian kali"
743,"kualitas selalu oke, pembelian ke sekian kali"
744,"kualitas selalu oke, pembelian ke sekian kali"
745,buat yang penasaran before after setelah pakai TG Lensa
746,dah percaya sama copper👍
747,dah langganan beli TG copper
748,Dah langganan
749,Dah langganan
750,"Dari pelayanannya responsive, ramah, + amanah. Proses pengiriman juga cepat. Packaging aman dan rapih. Produk yang dikirim sesuai dengan deskripsi, ukurannya pas/sesuai, Pr... "
751,"Dari pelayanannya responsive, ramah, + amanah. Proses pengiriman juga cepat. Packaging aman dan rapih. Produk yang dikirim sesuai dengan deskripsi, ukurannya pas/sesuai, Pr... "
752,mendarat dengan selamat. semoga awet
753,"tombol volume ketemen terus, retur malah mao di potong doang, bukan ganti baru"
754,"harga hemat, kualitas sangat baik...."
755,Di bagian tepinya tidak melekat.
756,"Tadinya tidak berharap banyak untuk harga Rp. 549,-, asal nyala bunyi aja sudah bagus. Setelah dicoba lebih dr yang diharapkan untuk harga segitu. Suara cukup jernih karakt... "
757,"respon seller bagus, pengiriman cepat, barang bagus sesuai deskripsi"
758,"Buat bassnya mantap,,suaranya jernih banget worth it"
759,pas untuk samsung A52
760,"kwalitas barang oke, packing oke, pengiriman cepat..."
761,Bahan berkualitas sesuai claimed. Pengiriman paket cepat dan dibungkus dengan baik. Sangat recommended. Terima kasih Seller!
762,Bahan berkualitas sesuai claimed. Pengiriman paket cepat dan dibungkus dengan baik. Sangat recommended. Terima kasih Seller!
763,kedua kali nya beli produk ini alhamdulilah aman
764,"produk sudah saya cek semua aman, packing nya extra aman, penjual ramah, InshaAllah langganan. terimakasih copper Indonesia.😊🙏"
765,"paket sudah di terima, packing rapih, masih tersegel, kurir ramah. terima kasih"
766,"Packagingnya luar biasa patut diacungi jempol, barang tentunya jadi sangat aman karena bubble wrapnya tebal."
767,4 bintang aja. kemasan seperti sudah terbuka dan tidak tersegel.
768,Packing aman dan rapi.kwalitas jujur keren hanis..worth it lah hrga murah kwalitas hrga diatas 100 rb....good good good thxs...
769,"good, terima kasih untuk bonus case ny"
770,Recommended brand product... berkualitas dan awet tahan lama dari goresan... recommended seller
771,"pengiriman cepat, pemasangan easy, tpi secara kenyamanan dan sensitivitas sentuhan menurut saya kurang, mash lebh oke merk sebelah, thanks"
772,barang sesuai harga
773,owh ya tentu bagussss
774,"untuk urusan screen protec gadget.
saya percaya product copper."
775,Recommended Seller
776,Recommended Seller
777,"En Argentina nací
Tierra del Diego y Lionel
De los pibes de Malvinas
Que jamás olvidaré
No te lo puedo explicar
Porque no vas a entender
Las finales que perdimos
Cuantos... "
778,"barang tiba dengan selamat, psngiriman sangat cepat, dan barang berfungsi dengan baik. suara nya bagus."
779,"Sesuai deskripsi, packing super aman, produk berfungsi dg baik, bass-nya oke, noice reducingnya oke. Just suggest, design kepala headsetnya terlihat agak ringkih, kabel p... "
780,"bagus, gampang pasangnya. rekomen"
781,baguss.. berfungsinya bagus.. rekomen
782,semoga tahan
783,Headset yang keren
784,barang tersegel dg rapih.terima kasih
785,Alhamdulillah
786,nnmmmmmmmmmmmmmmmmmmmmaaaaaaaaaaaaaaaannnnnnnntaaaaaaaaaaaaaaaaaaapppppppppppppppppp!!!!!!!!!!!!!!!!!!!!!!
787,"rekomendasi banget pokoknya.
selalu jadi langganan.
packing terbaik"
788,"packing aman dan rapi, barang sampai dengan kondisi baik. Kualitas barang sesuai dengan harga."
789,kecewa kadang kagak masuk casnya
790,"👌 mantep 
suaranya jernih bass nya okee"
791,"mantap sampe juga, sesuai dengan yang diorder."
792,lu ga pernah ngecewaiin gw kalo soal antigores. rapih bersih lengkap kek premium. official store yang punya hp aja ga gini (ya. samsung. lu)
793,"bagus.dpt hrga 37rb
lapak gercep.2hari sampe
suara sesuai harga.gk sember"
794,"Pesanan sudah diterima dengan baik dan aman,recommended mantuuull,packing oke,pengiriman gercep,Terima kasih seller semoga jualannya berkah barokah laris manis"
795,Oke
796,kualitas baik cuma agak licin aja karena halus tidak ada tekstur
797,Barang ada goresan
798,Fingerprint susah
799,batang sudah di terima dengan baik dan berfunsi
800,mantap
801,"barangnya sesuai, pengiriman cepat sampai, suara yang dikeluarkan ngebass dan nyaman di kuping"
802,"pass Mangtaaaappsss,nyaman banget di mata,mudah di pasang,licin dan kinclong,ada warna keunguan ketika layar off,gak buat mata cepet lelah,cocok untuk yang suka mantengin h... "
803,oke
804,mudah dipasangnya dan pas banget.. no issue so far
805,"untuk barang sesuai deskripsi, fast charging"
806,"pembelian kedua, yang pertama hilang entah kemana.."
807,suara jernih barang bagus pengiriman cepat kedengaran beda alat musiknya pokoknya cakep
808,"Packing aman, produk sesuai pesanan. terima kasih 🙏😊"
809,"Dengan harga diskon, mantap banget tasnya. Packing juga warbyasah."
810,seller yang bener2 memuaskan. packing sangat aman dan cepat. sukses selalu.
811,pemasangan case nya mudah dan pas dengan ukuran hp nya
812,"pemasangan tempered glass mudah, dan tidak mengganggu kualitas tampilan layar"
813,Barang bagus
814,mantap 👍🏻👍🏻
815,"Barang original, pengiriman cepat, packaging aman"
816,mantap sesuai ekspektasi..cepat..pasang gampang..
817,mantap packing aman
818,"Sesuai deskripsi,Suara jernih,Bass mantap,pengiriman tepat waktu,.kerennn,."
819,alhamdulillah pesanan sdh sampai. packing nya bagus. tas nya jg kereeen 👍👍
820,bru pakai bbrp hari udh mati sebelah
821,"Packing sangat aman,seller nya jg sangat ramah, pengiriman cepat,mantap pokoknya mahh 👍👍😁"
822,"bagus lgsung nempel sempurna, cmn kurirnya aja jelek bget pake id xpress lama bner nyampenya"
823,"Puas, aman dan nyaman belanja di Copper Indonesia, Puas dengan kualitas produknya, aman kualitas paket dan pengiriman serta nyaman dengan pelayanannya, pertahankan mutu lay... "
824,suaranya kerreenn... harga murmer.. pas ditelinga
825,"Barangnya sudah diterima dengan baik, barangnya dalam kondisi sangat baik, packing sangat.. sangat aman dan pengirimannya cepat.. sangat recommended.. terima kasih ya ❤️❤... "
826,"packing nya rapih, ini order ke dua kali dan aman aman aja sih, pemakaian yang pertama tahan di aku setahun lebih… smg kali ini jg bisa tahan lamaaa🥳🤝🏻"
827,"Terima kasih, barang sudah terpasang kalau ini presisi Dari ujung kanan kiri atas bawah dekat sekali dengan ujung layar, tapi ada sedikit kendala pada bagian atas kanan K... "
828,"Terima kasih, barang sudah terpasang hanya saja ukurannya agak kecil sedikit ya, sisi kanan saya pasang sejajar ternyata yang kirinya agak jauh sama tepi layar. tapi tak ap... "
829,sesuai pesanan makasih
830,"bagus, awet, tahan lama, fast charging. gokil sih"
831,barang berfungsi dengan baik dan sesuai dengan deskripsi
832,"simple, cepat, presisi, dan pas buat vivo V27"
833,"oke mantap, barang sesuai, cuma lubang kameranya lebih besar"
834,"Setahun sekali ganti, recommended dan murmer!"
835,"sudah diterima dan sesuai pesanan.. 
sudah di pasang, ukuran presisi.. 
produk bagus.. 
packing jg sangat aman dan rapi.. 
next order lg disini.. 
makasih"
836,barang bagus...
837,oke berfungsi dengan baik
838,"hp saya gerak2 sendiri pas di cas, tegangan charger seperti tidak stabil atau gimana saya kurang tau, yang jelas saya pakai chargeran lain aman2 aja gak kepencet2 sendiri d... "
839,"pengiriman sangat cepat,barang nya oke banget 👍"
840,Sesuai pesanan packing aman barang mantap. top
841,Sesuai pesanan packing aman barang mantap. top
842,keren tempered glass nya
843,"alhamdulillah, semoga awet"
844,"sudah pake sebulan, bagus suaranya, bassnya lumayan kenceng"
845,"Ada cacat dikit, 1 titik hitam"
846,"packingnya super aman pdhl cuma beli 1 barang ini aja
tempered glassnya bagus"
847,"Beli yang ke 2 kali disini. Barang sesuai, Kualitas sangat baik. Recommended 👍👍👍"
848,mantul suaranya
849,cakep barangnya sesuai ekspektasi
850,"barang oke, semoga awet"
851,"Produk Original Copper, Pengiriman cepat dan aman, Terima kasih 😊"
852,"packing aman, dipakein bubble, suara bass dapet mid kurang treble pas ga bkin sakit kuping, vocal agak maju tapi jd jernih. ckup puas"
853,"Produknya bagus, sesuai deskripsi dan gambar. Packing baik dan aman. Pengiriman sangat cepat."
854,"Packing bagus dan rapi Suara bass cakep, sesuai ekspektasi"
855,"mantap, bassnya mantep banget"
856,mantap...fast charging berfungsi dengan sempurna... pengisian sangat cepat
857,selalu premium barangnya
858,"barang sesuai, pengiriman cepat. mantappp"
859,barangnya bagus
860,"packing aman, mudah dipasang"
861,"bagus, bahannya oke. resleting juga sprtnya bagus punya bahannyam."
862,"barangnya dikirim dengan segel dan pelindungan yang kereen, sangat recomended"
863,sesuai
864,"mantep bass nya
terima kasih Ka 😁"
865,"murah gak murahan, bener2 cepet chargingnya."
866,"barang bagus dan mulus, ukuran pas"
867,"barang bagus, pas, dan cocok"
868,"barang datang dengan aman, pas dan cocok varian hpnya"
869,"barang datang dengan kondisi mulus, pas ukurannya dan juga berfungsi dengan baik"
870,"Dengan harga segini, baru kali ini seumur umur dapat TG yang kualitasnya harga 150k+ 
Sangad2 recomend worth it, harga rakyat, kualitas sultan coook 
Goks 🔥🔥 pertahankan... "
871,"Keren barangnya, murah tapi tidak murahan 👍👍"
872,"bentuknya pas kecil, organizernya bisa digeser. sayang tempat naro kabelnya terlalu sempit. jadi naro kabel tebel gk muat."
873,puas ini pembelian kedua
874,"kalau beli earphone murah tapi mau bagus yah ini solusinya, yiihaaaa .."
875,"bagus baik dari harga, produk, dan after sales-nya komen dari semua hp nya yang pakai tg copper selama 2 th belakangan ini"
876,"Packing oke banget, box keren, serius banget ini produsen nya. Bergaransi pula"
877,"Barang sudah diterima, sesuai dg pesanan dan dalam kondisi baik, packing juga bagus serta respon seller mantap"
878,barang berfungsi baik tanpa ada masalah.
879,"Respon, pengiriman, kualitas TGnya pokoknya aman ngga ada masalah. Tebel dan licin. Kurangnya cuma satu, kurang lebar lagi 1 atau 2mm aja mungkin, karena border hitamnya... "
880,good luck with that I will help you with this one
881,"sesuai deskripsi, bagus"
882,"Terbaik, dapat free office 365 pula mantap"
883,"respon cepat, barang diterima dengan baik.terima kasih"
884,"Bagus, Lebih mudah dipasang karena tidak ada garis hitamnya."
885,mntapp keren
886,barangnya bagus tapi fingerprintnya jadi kurang sensitive
887,"sesuai descripsi, packing aman"
888,barang sesuai deskripsi. dipasang dengan mudah
889,bagus real 18w barang sampai dengan selamat
890,barang oke harga terjangkau dan  mantap barang nya no hoak
891,untuk xiaomi 14 T mantap..presisi...layar licin...tidak bertabrakan dengan case aslinya...minyak bekas jari  minimalisss
892,udah langganan ini pass presisi cocok dah..pemasangan mudah
893,udah langganan ini pass presisi cocok dah..pemasangan mudah
894,barang oke
895,Selalu bagus beli disini ga pernah ganti2 merek. Walopun cepet rusak klo jatoh temperdglass nya
896,"Selalu beli disini buat temperd glass. Ga pernah ganti ke merek lain. Selalu bagus, walopun yaa rentan rusak nya klo jatoh."
897,selaluu mntaap
898,Harganya murah tapi kualitasnya bgs thanks
899,mantap sekali semuanya bagus saya puas
900,"lumayan presisi, harus pas bgt masang nya klo engga dia bakal ke angkat"""
901,"Respon penjual sangat sangat responsif dan cepat, order kemarin sampe sore ini, untuk kurir ID Express juga cepat. two thumbs up, keren. untuk produknya pas awal pertama... "
902,recomended seller
903,"Paket sampai dengan aman. bubble warp nya berlapis-lapis. ukuran masih kurang sekitar 2-3 mm, jd nga full cover. tapi mestinya pas utk yang pakai case sleeve."
904,"Paket sampai dengan selamat. aman, bublewarp nya berlapis-lapis. ukuran pas dan sesuai. terima kasih masih stock ipad lama🙏"
905,"Keren barangnya, kualitas mantap"
906,"Keren, kualitas mantap"
907,mantaps barang nya cukup bagus mungkin kurang gede dikit aja
908,"barang sesuai. cuma kurang 1mm dari layarnya. oleophobic, nyaman dimata"
909,"tidak diragukan lagi,
barang top markotop"
910,"Selalu langganan, mantapp!!!"
911,"bagus, walau delay sehari"
912,Joss mntap berfungsi
913,Bass oke bgt
914,Terlalu jauh letak kamera depan dengan bazel atas hape sedangkan bagian bawah bazel terlalu over. Lebih di perhatikan saja mungkin
915,"barang bagus, real fast charging"
916,mantap brngnya cepat sampai
917,"mantap, bisa nyimpan banyak dan jadi lebih rapih"
918,Entah sudah beli untuk yang keberapa kali disini..terbaik pokoknyaaa...!!!!! SPECIAL POKOKNYA
919,Entah sudah beli untuk yang keberapa kali disini..terbaik pokoknyaaa...!!!!! SPECIAL POKOKNYA
920,"Cooper gak pernah mengecewakan... produk sangat2 premium dan memuaskan, gerak cepet seller dan kurir pengirimannya juga cepat. Thx tokped."
921,"Ukuran pas, gampang pemasangannya, disertai dengan link untuk video"
922,"Produk bagus, bisa muat 1 charger Macbook Pro, 1 Powerbank, satu Charger Smartphone, USB C Hub, 1 tool kit Smartphone, 2 kabel charger ukuran 1 meter, 3 Suplemen Imboost,... "
923,"pengiriman cepat, barang juga mantap, warna juga sesuai makasih."
924,"top markotop kedua kalinya beli dr 2021 saking awetnya pengiriman jg cepat best lahh, tapi gk dapat bonus softcase dulu dapet softcase😄"
925,Barangnya oke...berfungsi dengan baik. Respon dan pengiriman cukup cepat....
926,"Respon seller cepat, pengiriman aman, kualitas kacanya standar, namun ukurannya jauh lebih kecil dari ukuran layar Huawei Nova 2i, seperti bukan peruntukannya, ada jarak... "
927,"bahan lumayan utk melindungi layar. tapi anti gores nya ckp mudah tergores,walapun tdk sampai layar nya."
928,"datang dengan aman, packing aman 👍👍"
929,"barang masih segel.mudah mudahan bagus dan awet.
pokonya welll weh lah"
930,"aman, pengiriman cepat, barang bagus cuma kepala charger nya doang, pas ngecas kabelnya gk cepat tidak sesuai namanya"
931,"barang sesuai pesanan, respon penjual cepat banget kaya rudal balistik, terimakasih🙏"
932,"Murah, bergaransi....yang lebih keren kenceng suaranya..bassnya mantep...makasih"
933,Kemasan nya Aman
934,"barang bagus, presisi, tapi sayang fingerprint jadi tidak bisa"
935,Ternyata anti spy tidak bisa finger scan bawah layar
936,presisi pas... tapi kalo pake tempered glass jangan yang full selayar yak... soalnya bakal mepet banget karena emang bener2 presisi
937,bagus berfungsi dg baik mantap👍
938,Paket sudah sampai. Kualitas oke. thanks..
939,"barang segel 
bungkus rapi
semoga awet dan amanah ya kak
syukak"
940,"Dari segi packaging dan respon oke, cuma glassnya membuat in-display fingerprintnya ga bisa scan. Padahal dulu pakai yang versi glossy dan ga ganggu fingerprint sensornya... "
941,"setelah 4 tahun pakai merk ini, baru ganti juga. terpercaya, kualitas oke, pemasangan mudah. harga juga sebanding. packing aman : kardus, bubble wrap."
942,barangnyaa asli dengan harga 200 perak udah dapat barang sebagus ini Masya Allah...real pict...
943,barang sudah saya terima thanks sesuai pesanan
944,keren..semoga awet barangnya..good job toped
945,samping kanan kiri sulit melekat. tapi atas bawahnya oke.
946,Thanks gan
947,Jos gandosss maksimal tenan
948,pesanan sampai dengan aman. sesuai diskripsi suaranya Oke lah salernya dan kurir gercep makasih semoga awet.
949,chargernya keren fast chargingnya support jg buat chipset yang mediatek
950,Mantab👍
951,"pesenan cepat banget, produk juga oke banget bener bener hoki bgt dapet cuma 100 perak mantap"
952,"Packing nya bagus banget. Berlapis2 dan gak pelit bubble..
Pengiriman cepat..
Harga terjangkau..

Produk juga bagus tapi emang gak full ketutup semua layar ad beberapa mili... "
953,"kwalitas bagusss,selalu pesen disini"
954,"Barangnya bagus, selalu beli di sini karena awet, thank you!"
955,"fast shipping 👍🏻👍🏻👍🏻👍🏻👍🏻 sudah dipasang juga, merekat dengan baik"
956,"fast shipping 👍🏻👍🏻👍🏻👍🏻👍🏻 sudah dipasang juga, merekat dengan baik"
957,"u/ iphone 15 plus, dipasangin suami, enak sih pemasangannya aman tanpa kendala, ga ada buble juga finishingnya. 
sensitivitas aman, cuma agak kurang full dikit yah layarn... "
958,"okkkkkkkkkkkkkkkkk, sudah smpai, sesuai"
959,"Gk pernah kecewa beli disini, pasangnya gampang"
960,"Barangnya kualitas bagus, sudah di pasang di hp saya"
961,"Barang sudah sampai dan sesuai cuma ada tapinya, ada sedikit baretan halus di tempered glassnya bisa dicek digambar, gak bisa dibersihin juga jadinya ya sudahlah."
962,"ternyata emang ga support finger print ya guys, sy pikir setelah di pasang, hapus dulu finger print lama kemudian daftarin kembali biasanya di hp yang lain bisa. tapi ini ga... "
963,"Mantap pas ,,,moga awet dan moga tambah berkah selalu seller"
964,"awal rata dan rapih lama"" ngangkat tg nya"
965,Paking rapi; sangat berguna; pas dapat harga promo juga. Terimakasih
966,produk bagus
967,"Sesuai pesanan, terima kasih. Output 33 mantul"
968,sipppp 🔥🔥
969,"Bagus min 100 rupiah dapat headset, suara juga enak"
970,kwalitas memuaskan
971,"Barang masih segel pas sampe, berfungsi dengan baik"
972,Mantepp
973,Produk sesuai dengan deskripsi
974,👍🏼👍🏼👍🏼👍🏼
975,Mantap buat pinggiran yang kurang nempel 👍🏼
976,Sesuai pesanan mantap
977,"barang berfungsi baik , packing nya bagus dapat bublewarp jadi barang aman di perjalanan"
978,biasa sj suara yang dihasilkan
979,packingnya aman dan built quality standar tidak murahan tidak mewah juga
980,Admin seller fast response dan komunikatif. Produk original (asli) Copper. Kualitas bagus dan terjamin.
981,Admin seller fast response . Barang original (asli) produk Copper . Kualitas produk bagus . Terima Kasih .
982,"terlalu awet ,tahan banting pulakk 🔥🔥🔥"
983,"produk bagus dan bisa dipakai, tidak menggangu dalam foto. hati2 aja pas pasang nya."
984,barang oke
985,bagus banget 👍🏻
986,😍
987,👏🏻👏🏻👏🏻
988,"Packing aman, sesuai gambar dan deskripsi."
989,"Kualitas aman, berfungsi setelah di cek."
990,gausah ragu kl belanja disini. top
991,Barang sudah diterima...makasih
992,overall aman baterainya. cuma blm tau secara long term nya
993,Pengiriman cepat dan dipacking dengan baik. Barang sudah ditest berfungs normal. Mantap!
994,"packing nya aman dan rapih, kameranya mantap, semoga awet."
995,lega sampai di rumah packing nya rapi ndaada yang jebol
996,barang nya bagus no fake fake bagus lah pokoknya 👍👍👍
997,cool mantap cepat informatif puas thanksss
998,"Terlalu mantap
Thankyou…

Baru kali ini megang lumix.. langsung cocok"
999,"Produk sampai tujuan dengan cepat dan aman, thank you 🙏🏻✨"
1000,Bagus dan bisa digunakan. Foto pun jadi sesuatu yang menarik
1001,layanan cepat...recommended seller...
1002,Mantaap kawaan
1003,Mantep bener
1004,"barang bagus, kamera makin gagah"
1005,Bahan oke lah. Seller bisa pickup di toko.
1006,"barang telah tiba dengan aman, semoga baik digunakan"
1007,baik dan bagus
1008,"barang telah tiba dengan aman, semoga baik digunakan"
1009,Pengiriman cepat barang sesuai semoga awet
1010,Keren bgt… sesuai espektasi. Very reccomended seller.
1011,lucu
1012,"Pelayanan sangat baik
Top penjual 😁"
1013,nice terima kasih ⭐⭐⭐⭐⭐
1014,bagus pengiriman cepat
1015,lensa cakepppp
1016,"dipasang di 6300.makin mantap , jadi 127 mm tapi f tetap 1.8"
1017,ManTap....Dapat Free adapter dan Batrai Juga
1018,"bagus kameranya, trusted seller , kualitas foto bagus , pengiriman aman dan cepat"
1019,"barang sampai keadaan baik, barang sesuai deskripsi, mantabb"
1020,"pengiriman cepat,, packing rapih, pengiriman cepat"
1021,"pengiriman cepat,, packing rapih, pengiriman cepat"
1022,Barang bagus
1023,"mantapp ori, no minus"
1024,"barang sesuai deskripsi, original, harga bersahabat.pengirimam cepat"
1025,"barangny sesuai, original, harga bersahat.pengiriman cepat"
1026,"Pengiriman oke, barang bagus, packing oke"
1027,built quality mantul 👍👍
1028,"mantaphhh...berfungsi dengan baik.
seler sat set, packing aman."
1029,"Hollyland merupakan merk terpecaya, sudah pakai mulai dari Mars 300 jadul, pengiriman tepat waktu hingga bisa langsung dipakai untuk ngejob, terimakasih. eh bonusnya tern... "
1030,Emang JPC kemang penjual on line the best. Selalu cepet banget respon dan pengirimannya. Pengepakan juga selalu rapi dan aman. Blm di coba. Tapi percaya deh....
1031,Barangnya cakep abis thx u hollyland
1032,Nice
1033,"Pelayanan cepat, berfungsi sesuai, semoga awet"
1034,"Barang sesuai, berfungsi baik, pengiriman aman, sip"
1035,sesuai!!!
1036,"Barang sesuai pesanan, pengiriman cepat penjual fast respon, packing bagus rekomended"
1037,"respon dan pengiriman cepat, test dulu ya"
1038,"Selalu langganan sama JPC Kemang dan sampai saat ini belum pernah kecewa dengan produk nya dan pelayanan nya professional 👍

Kalo mau liat hasil nya silahkan cek di IG @... "
1039,"Packagingnya aman banget, penjualnya amanah dan fast respon dan barangnya original sesuai deskripsi."
1040,"MANTAP PENGIRIMAN CEPAT, BARANGNYA KREN SEMOGA AWET"
1041,"Buset, speed nya kenceng bener. Gk rugi ambil, murah lg. Recomended! Semoga awet"
1042,"pengiriman cepat, barang berfungsi dengan baik. dan paket pakai bubble, respon cepat, tokonya resmi.. pokoknya mantap lah.."
1043,"mantap pengiriman cepat barang orisinil, rgister buat claim garansi pakai aplikasi juga bisa, nama toko termasuk dealer resmi akaso. 
harga lebih bersaing.. paket dibungk... "
1044,Udah langganan dari dulu. Packing aman. Rapi. Jelas original. Thank you!!
1045,Udah langganan dari dulu. Packing aman. Rapi. Jelas original. Thank you!!
1046,Udah langganan dari dulu. Packing aman. Rapi. Jelas original. Thank you!!
1047,Udah langganan dari dulu. Packing aman. Rapi. Jelas original. Thank you!!
1048,"Proses cepat, kirim akurat, produk segel tanpa cacat, semua berfungsi normal. Mantap.
************************************"
1049,Barangnya rusak
1050,"seller rsponsif.. saya butuh cepat dan di bantu
mmc cocok kebutuhan di insta 360x3
terima kasih"
1051,"keren, kualitasnya mantap, dan packingnya rapi, pokoknya terbaik memang.."
1052,Barang sesuai iklan dan pesanan. Pengiriman lancar tanpa kendala
1053,bagus kualitasnya
1054,build quality bagus
1055,Hasil keren
1056,Keren bangettt!!!
1057,"Kemasannya aman banget, jadi waktu sampai ngga ada masalah sama sekali."
1058,oke
1059,"Woow … barang kiriman jpckemang selalu packing terbaik, cepat … oke banget.

Utk kamera nya, gaya retro kualitas numero uno …."
1060,Terbaik tokonya dan pelayanannya
1061,Tidak mengecewakan
1062,Sangat baik pelayanannya
1063,"kualitas top, paket aman dan cepat, mantapppp"
1064,Paket aman. Admin ramah sampek tengah malam tetap di balas.
1065,"Paket aman, kamera dan lensa bekerja dengan baik. Admin sangat ramah"
1066,"Barangnya original, pelayanan cepat, kualitas dijamin (garansi)"
1067,"Mulai dari Kamera, sama Lensa 3 Biji, Sigma 35 Mm Dg DN, Sigma 85 DG Dn, dan terakhir Sony 70-200 GM MARK II, Di toko ini, gak Pernah menyesal.

SANGAT REKOMENDASI DI TOK... "
1068,"Fast delivery, great quality ✨"
1069,"Packing baik, pengiriman cepat, semoga awet, tq seller 👌🏻"
1070,"proses cepat, barang di packing dengan aman, produk memuaskan"
1071,"produk dan sellernya mantapppp..pengiriman cepat, packaging aman dan segel, layanan purna jual juga diladenin..keren deh.."
1072,bagus
1073,Mantaap
1074,"Paket diterima dengan baik, packaginya betul betul aman, lensa ori dan tersegel rapi. Hasil test lenaa memuaskan. Terima kasih JPC Kemang"
1075,berfungsi dengan baik
1076,mantul
1077,ke 2x beli disini ✌🏾
1078,"proses order cepat, barangnya sesuai, saya suka"
1079,"produk sampai aman dan rapih, mdh2an ada promo lg bisa beli aksesoris lain"
1080,"Barang sesuai deskripsi, seller sangat responsif, pengiriman cepat, paking rapi aman, harga paling oke. Mantaf 👍👍👍"
1081,"bagus, mudah mudahan awet. udah di test mantulll"
1082,"Lumayanlah, salah baca deskripsi gua.
Buat adminya tetep gokil, fast respon banget. Makasih udah kirimin barang dalam keadaan baik sampe sini kak 🙏"
1083,recommend seller
1084,Nice product
1085,sudah seting belanja disini. mumpung promo lgsg gasss. harga murah kualitas bintang 5. malnyus eos rp. warna cakep noise minim
1086,"baru pertama kali belanja disini, gokil sh pelayanannya.. dikira barang sampe besok ternyata dateng hari ini.. smoga awet dan jadi pengen maen ke toko"
1087,"aman ,terpercaya ,"
1088,"Barang bagus, aman, pengiriman cepat. Respon penjual bagus."
1089,"Sellernya gercep benerr, barang lgsg dikirim dengan packing yang mantap, semoga pelayananya selalu terjaga, bravo jpg kemang!"
1090,barang sesuai deskripsi dan berfungsi dengan baik
1091,packingnya rapih tapi sayang pake bubble wrapnya ga tebel ngeri kenapa2 klo pas pemgiriman tapi Alhamdulillah barangnya nyampe dengan selamat
1092,Fast respont seller ramah barang bagus banget
1093,Mantep bgt belanja perkameraan kalo di jpckemang👍
1094,Barang mantap
1095,"Kualitas Original, Barang sudah di terima dengan baik, belim dibuka dan di coba semoga aman.😄"
1096,"Service, packing dan pengiriman barang cepat dan oke"
1097,"barangnya bagus cuman panjang banget, mungkin coba yang slide lite kalo seneng strap yang pendek"
1098,"Jaminan ori kalau beli di sini, pengiriman juga super cepat dan packingan aman

Lgsg ditest, puas banget dengan kualitas produknya

Top Notch Seller!"
1099,"Jaminan ori kalau beli di sini, pengiriman juga super cepat dan packingan aman

Lgsg ditest, puas banget dengan kualitas produknya

Top Notch Seller!"
1100,top
1101,"Barang bagus, original, toko sangat responsif bahkan melebihi harapan. Toko mengingatkan dulu ke saya apakah cocok dengan kameranya. pas udah oke, toko baru kirim. Keren.... "
1102,"Bagus.....cepat pengiriman, produk compatible dan kualitas tidak kalah dengan yang original"
1103,keren sih...
1104,"cepet banget sampe,toko nya gercep abis"
1105,JPC TERBAIK
1106,"Seller responsif, barang original sesuai deskripsi, pengiriman cepat, packing rapi aman, harga paling oke, mantaf"
1107,barangnya tiba dengan selamat. Barang Ori
1108,memuaskan lah pokoknya.
1109,mantap
1110,BEST!!! seller sangat responsif dan pengiriman sangat cepat. packaging juga rapi dan aman. Barang original sesuai semuanya 👍🏽
1111,"memuaskan,, barang nya bagus.. original bahan premium"
1112,Pengiriman cepat istri happy
1113,Pengiriman cepat istri happy
1114,"Terimakasih, respon sangat cepat, pilih pake YES beneran besok sampai"
1115,"Barang sangat bagus sesuai pesanan
Respon baik dan cepat
Toko super rekomen"
1116,"Admin Fast Respond 
Barang Ori
Pengiriman super Kilat
Toko Kamera Trusted ini mah. 👌"
